dataset,backbone,display,method,family,test_acc_all_mean,test_acc_all_std,test_acc_high_contract_mean,test_acc_high_contract_std,priority_coverage_error_mean_mean,priority_coverage_error_mean_std
eurosat_msi,simple_mlp,Class-Balanced,baseline_class_balanced,baseline,0.8591111111111112,0.009084838664104715,0.7424999999999999,0.020770321374499728,0.17178206937095822,0.0009841828566244223
eurosat_msi,simple_mlp,OSAG,osag_priority,alpha,0.8638888888888889,0.005609307863281878,0.76045,0.018018566813151365,0.0020035861258083003,0.0008059603826880295
eurosat_msi,simple_mlp,Random,baseline_random,baseline,0.8692962962962962,0.003063681674825852,0.7368,0.016956193558697027,0.23810058788947677,0.0007962997522282168
eurosat_msi,resmlp,Class-Balanced,baseline_class_balanced,baseline,0.8646296296296295,0.004571861813195734,0.75105,0.020011246837716015,0.17124585537918874,0.00024475392970239087
eurosat_msi,resmlp,OSAG,osag_priority,alpha,0.8625555555555555,0.0033163145789914497,0.741,0.012882885934448076,0.0014579071134626699,0.0004015844249548649
eurosat_msi,resmlp,Random,baseline_random,baseline,0.8634444444444445,0.0014964521370990197,0.7351,0.02544209110902644,0.23794955908289245,0.0008618985194911944
