dataset,policy,acc_all_mean,acc_all_std,acc_high_mean,acc_high_std,prio_cov_err_mean,prio_cov_err_std
Indian+Salinas,OSAG-FairLoss (l=0.5),0.910950605778192,0.004421250755901697,0.9115426073494728,0.06749200384787662,0.0026222229903957,0.0006008148692457901
Indian+Salinas,OSAG-FairLoss (l=1.0),0.912053432743088,0.003297103446557998,0.894158397830559,0.02664163736288189,0.0026222229903957,0.0006008148692457901
Indian+Salinas,OSAG,0.9085274930102516,0.004199741583066526,0.8882714667923434,0.04697718547796394,0.0026222229903957,0.0006008148692457901
Indian+Salinas,OSAG-Mix (a=0.75),0.9059335197266231,0.007977557802374398,0.85104756139093,0.04475145040257368,0.05846457746617524,0.00017140656083882086
Indian+Salinas,OSAG-Mix (a=0.50),0.9167598633115874,0.0025012107468908203,0.8651268143233869,0.04463553080963464,0.11747375185398883,0.000566760943982476
Indian+Salinas,OSAG-Mix (a=0.25),0.9115253184218701,0.004762701652068136,0.8273263450170398,0.03612261140952221,0.17608062843983013,0.00021909796117105517
Indian+Salinas,Random,0.9146784715750232,0.001694069606650007,0.829728550280645,0.047281433147003164,0.23490121867253935,0.00020163443608884295
Indian+Salinas,Class-Balanced,0.9025007766387076,0.0170868105397812,0.8626478365431135,0.03804330406986143,0.31370276297653266,0.00048585885445628457
Indian+Salinas,Uniform-Contract,0.908977943460702,0.0023639688187674125,0.9621671552418313,0.04700920664748412,0.9605354877098355,0.0003956159861521067
Indian+Salinas,Contract-Priority,0.8903696800248525,0.016868674971208364,0.9375407485979285,0.033212921643015064,1.0699663087419278,0.000499311044550179
EuroSAT MSI,OSAG-FairLoss (l=1.0),0.8491851851851852,0.014637011733371466,0.78525,0.023052250432441523,0.0020035861258083003,0.0008059603826880295
EuroSAT MSI,OSAG-FairLoss (l=0.5),0.8629629629629629,0.005155337372990741,0.7704000000000001,0.02652805119114481,0.0020035861258083003,0.0008059603826880295
EuroSAT MSI,OSAG,0.8638888888888889,0.005609307863281878,0.76045,0.018018566813151365,0.0020035861258083003,0.0008059603826880295
EuroSAT MSI,OSAG-Mix (a=0.75),0.867037037037037,0.005270462766947272,0.7474999999999999,0.011769929906333293,0.059640917107583756,0.001225274002405885
EuroSAT MSI,Uniform-Contract,0.8657777777777778,0.0030524675754280825,0.76025,0.025390081724957134,0.0948467372134038,0.0009568303898779397
EuroSAT MSI,OSAG-Mix (a=0.50),0.8667777777777778,0.006190006991670334,0.7516,0.01777691621176182,0.11891375661375661,0.0009634875553961987
EuroSAT MSI,Class-Balanced,0.8591111111111112,0.009084838664104715,0.7424999999999999,0.020770321374499728,0.17178206937095822,0.0009841828566244223
EuroSAT MSI,OSAG-Mix (a=0.25),0.8655925925925926,0.0034181593647857602,0.7537499999999999,0.008698060128557363,0.17853309817754262,0.0007816918194712192
EuroSAT MSI,Random,0.8692962962962962,0.003063681674825852,0.7368,0.016956193558697027,0.23810058788947677,0.0007962997522282168
EuroSAT MSI,Contract-Priority,0.8641481481481481,0.0039143785453675155,0.7703,0.012421503532181613,0.4282187536743091,0.001330721130372583
